occurenceId	sourceTaxonName	targetTaxonName	interactionTypeName	interactionTypeId	Season	Start Month	Start Date	2014	End Month	End Date	End Year	Country	localityName	synchronous_YN	contact_YN	roostCat1	ENVO_cat1	roostCat2	ENVO_cat2	roostCat3	ENVO_cat3	InteractionText	roostUsageType	InteractionReferencePage	Basis of record	RecordReference	FrequencyofOccurances	Tags	Habitat	referenceFileName	referenceDOI	referenceURL	referenceCitation	contributors
Graham1988-a8	Carollia perspicillata	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 2			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ACS
Graham1988-a9	Chrotopterus auritus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a10	Cormura brevirostris	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a11	Desmodus rotundus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a12	Desmodus youngi	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a13	Diphylla ecaudata	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a14	Glossophaga soricina	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 2			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a15	Lonchophylla handleyi	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a16	Micronycteris megalotis	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	fallen tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a17	Micronycteris megalotis	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ACS
Graham1988-a18	Micronycteris minuta	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a19	Molossus molossus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a20	Myotis nigricans	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a21	Myotis nigricans	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ACS
Graham1988-a22	Peropteryx macrotis	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	fallen tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a23	Peropteryx macrotis	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ACS
Graham1988-a24	Phyllostomus hastatus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			nest	ENVO_00005803	termite	ENVO_2000006			Appendix 2			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a25	Pteronotus parnellii	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a26	Pteronotus personatus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a27	Rhynchonycteris naso	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a28	Saccopteryx bilineata	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			tree	ENVO_01001057	standing tree				Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a29	Sturnira erythromos	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a30	Tonatia silvicola	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			nest	ENVO_00005803	termite	ENVO_2000006			Appendix 2			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a31	Trachops cirrhosus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a32	Vampyrops infuscus	none	roosts in			06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.			cave	ENVO_00000067					Appendix 1			Various					Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-a33	Noctilio albiventris	Ficus	roosts in	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes		tree	ENVO_01001057	standing tree				However, the discovery of a small hole in a slender fig (Ficus) tree occupied by Noctilio albiventris and Myotis simus was exceptional in that the occupants were members of different families. This discovery also was exceptional in the degree that the species were associated. The walls of the small cavity (25 by 25 by 30 cm) were covered with about equal numbers (30) of both species roosting in close contact with no apparent subdivision of the site.		715	Author Observation		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b1	Anoura caudifer	Carollia perspicillata	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b2	Anoura geoffroyi	Sturnira erythromos	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b3	Carollia brevicauda	Carollia castanea	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		718	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b4	Carollia brevicauda	Carollia perspicillata	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Carollia brevicauda and C. perspicillata used the same hole in a tree (J. L. Patton, pers. comm.) but their positions inside the hole were not observed (Tuttle, 1970).		719	Anecdotal		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b5	Carollia brevicauda	Rhynchonycteris naso	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b6	Carollia brevicauda	Saccopteryx bilineata	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b7	Carollia perspicillata	Anoura caudifer	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b8	Carollia perspicillata	Carollia brevicauda	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		719	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b9	Carollia perspicillata	Carollia castanea	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b10	Carollia perspicillata	Desmodus rotundus	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b11	Carollia perspicillata	Desmodus youngi	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b12	Carollia perspicillata	Glossophaga soricina	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	anthropogenic	ENVO_00000070	domestic building	ENVO_00000073			Appendix 1		719	Various		3			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b13	Carollia perspicillata	Glossophaga soricina	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		7			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b14	Carollia perspicillata	Lonchophylla handleyi	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Negative interspecific interactions.-I observed an agonistic interaction for only one pair of species. An individual Carollia perspicillata in a small room deep in a large cave made two unsuccessful attempts to land on a small knob on the ceiling occupied by three L. handleyi on the other side of the room. The Lonchophylla resisted the attempts and an individual chased the Carollia back to the other side of the room.		712, 719	Author Observation		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b15	Carollia perspicillata	Micronycteris megalotis	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b16	Carollia perspicillata	Micronycteris minuta	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b17	Carollia perspicillata	Molossus molossus	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	anthropogenic	ENVO_00000070					Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b18	Carollia perspicillata	Peropteryx macrotis	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b19	Carollia perspicillata	Phyllostomus hastatus	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		719	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b20	Carollia perspicillata	Rhynchonycteris naso	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		719	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b22	Carollia perspicillata	Saccopteryx bilineata	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	tree	ENVO_01001057	standing tree				Appendix 1		719	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b24	Chrotopterus auritus	Carollia perspicillata	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b25	Chrotopterus auritus	Desmodus rotundus	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b26	Chrotopterus auritus	Desmodus youngi	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		2			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
Graham1988-b27	Chrotopterus auritus	Glossophaga soricina	co-roosts with	http://purl.obolibrary.org/obo/RO_0002801		06		1977	06		1984	Peru	eastern Peruvian Andes and in the adjacent lowlands.	yes	not specified	cave	ENVO_00000067					Appendix 1		718	Various		1			Graham_1988	10.2307/1381626	https://academic.oup.com/jmammal/article/69/4/711/884072	Graham 1988. Interspecific associations among Peruvian bats at diurnal roost and roost sites. Journal of Mammalogy, 69:711-720.	ARW, ACS
